,CM,GENDER,AGE
0,[3.3991659  6.83881284 4.99767668 ... 0.         4.27594911 4.97200631],M,27
1,[2.27928843 3.38430083 2.31416812 ... 0.         4.33872723 4.72357043],F,27
2,[3.04480505 5.27628191 4.2397434  ... 0.         5.53864339 5.78292591],M,33
3,[3.60217479 3.93107755 2.75751818 ... 0.         3.50970493 4.52978091],F,35
4,[2.15009325 4.64850167 2.82865444 ... 0.         5.60293212 6.2934139 ],M,22
5,[4.15584675 5.06080574 3.94132635 ... 0.         6.82277171 7.77346353],M,29
6,[3.60384093 0.         5.83424658 ... 0.         4.94178653 4.15987319],M,29
7,[3.97655709 5.01361708 3.47356228 ... 0.         6.38493023 6.45043957],F,35
8,[3.79603282 3.75571835 0.         ... 0.         7.36628607 7.48248288],M,24
9,[4.3606653  0.         3.35926269 ... 0.         5.61219447 5.27341673],M,27
10,[2.56629385 0.         5.11800373 ... 0.         6.22829484 5.48894889],F,26
11,[2.75651581 2.59640759 0.         ... 0.         5.61204085 4.08848583],M,30
12,[2.38413162 3.6199862  1.58145233 ... 0.         5.21208227 4.77553519],M,23
13,[2.26664194 0.         1.51752374 ... 0.         4.27850357 4.1046157 ],M,26
14,[0.         4.65851741 5.46328917 ... 0.         7.19358206 4.95142386],F,30
15,[0.         0.         3.59022388 ... 0.         7.24020184 3.96695592],M,25
16,[3.83385333 4.5082727  4.02841367 ... 0.         4.08927211 3.93323196],M,30
17,[0.         0.         4.46689983 ... 0.         6.95538902 7.08958101],M,34
18,[2.4083244  3.82392409 0.         ... 0.         5.28337307 5.11547742],F,25
19,[5.17448335 5.80395757 3.41733644 ... 0.         7.27751567 6.93088341],F,28
20,[3.40510025 4.9778495  3.9647159  ... 0.         4.48935141 4.6750196 ],F,26
21,[3.38424249 2.86420573 3.1179124  ... 0.         6.05640243 4.96806962],F,31
22,[0. 0. 0. ... 0. 0. 0.],F,36
23,[0.         5.25995557 6.29087973 ... 0.         6.06574781 6.20025142],F,29
24,[3.48129437 5.17234814 4.50427097 ... 0.         3.02353739 5.51236549],M,28
25,[0.         4.24489092 3.37603379 ... 0.         4.10226115 4.04085259],M,22
26,[4.55779756 6.60347552 6.37598246 ... 0.         6.67796124 6.47939547],F,33
27,[2.22965428 4.75986637 4.44435754 ... 0.         6.42633794 7.06721361],M,31
28,[2.36969377 5.80732118 2.76606108 ... 0.         5.8845259  5.64846003],F,27
29,[2.85128324 3.04763906 0.         ... 0.         7.12729599 6.28546273],F,28
30,[1.80050191 2.99044566 2.12123733 ... 0.         0.         5.12230644],M,32
31,[5.3787087  0.         5.51504672 ... 0.         6.7600887  6.42426699],F,32
32,[3.1432772  5.43984837 3.92846639 ... 0.         0.         5.13047949],M,27
33,[4.24263192 5.82682779 0.         ... 0.         6.62506633 6.70121798],F,30
34,[3.5158087  5.76246612 5.6742755  ... 0.         5.63412257 6.09960884],F,33
35,[0.         5.11480205 4.09898325 ... 0.         5.64125088 5.66777115],F,29
36,[2.47038947 4.68225585 3.46515951 ... 0.         6.19273215 5.67335861],M,31
37,[2.89404843 3.85961068 3.26686942 ... 0.         5.18645965 4.47019384],F,26
38,[1.34869145 2.37194638 0.         ... 0.         3.7189123  2.82935539],M,25
39,[5.45802316 0.         3.80233505 ... 0.         5.93115739 4.7438158 ],F,34
40,[1.58210532 0.         2.97149951 ... 0.         3.4844749  3.71598021],M,32
41,[3.21937085 4.90268907 4.00323758 ... 0.         3.63573524 4.30598753],F,29
42,[0. 0. 0. ... 0. 0. 0.],M,33
43,[2.41294692 4.13815351 0.         ... 0.         5.70548348 5.98273789],M,29
44,[4.32575461 6.65477871 5.84658545 ... 0.         0.         5.60503229],F,33
45,[3.11957805 0.         2.03668065 ... 0.         5.77880026 4.9461421 ],F,32
46,[4.80325135 6.28788499 6.67555273 ... 6.55994782 0.         6.58733229],F,34
47,[0.         7.26309079 0.         ... 0.         8.23161389 7.56490863],F,23
48,[3.32471753 4.63125456 3.27008936 ... 0.         4.59672949 5.41970744],M,25
49,[2.74973501 6.36725645 3.0455062  ... 0.         6.49236468 5.93727806],M,28
50,[0. 0. 0. ... 0. 0. 0.],M,27
51,[0.         4.59698791 0.         ... 0.         6.05181828 5.47589599],M,26
52,[2.88584478 4.87126098 3.66854516 ... 0.         4.66671939 4.80051769],F,30
53,[4.36397649 5.7202261  4.26176541 ... 0.         7.24684665 6.7393266 ],F,30
54,[2.57455497 5.5994404  5.3759373  ... 0.         6.79350968 6.37813174],F,24
55,[4.17864489 5.03165619 0.         ... 0.         6.50389249 4.93461762],F,33
56,[0.         0.         0.         ... 0.         5.87157866 0.        ],F,34
57,[4.5781598  4.92057009 4.32876602 ... 0.         3.97790221 7.02034747],M,27
58,[3.57491247 4.13985881 2.99085901 ... 0.         4.98657439 4.85748524],F,29
59,[0.         0.         4.51104779 ... 0.         0.         6.71571072],M,23
60,[5.32938023 3.57857497 2.66655964 ... 0.         0.         5.58525902],M,22
61,[3.40734472 3.01453834 2.60624051 ... 0.         4.86836455 4.44916529],M,26
62,[4.25219291 5.56996901 3.88452079 ... 0.         5.01361856 5.31039257],M,29
63,[3.17720931 6.95434851 6.17774666 ... 0.         8.23496833 8.56065144],F,25
64,[3.16976675 4.05907101 3.8914676  ... 0.         2.74479695 4.94401333],F,33
65,[2.63254699 4.19387397 3.97385952 ... 0.         5.1685964  5.57464898],F,27
66,[3.43513485 5.17695043 2.50953101 ... 0.         3.57488983 4.71319024],F,26
67,[3.53483591 4.34271503 3.75587886 ... 0.         7.0081172  5.47009223],F,28
68,[4.20583908 3.58917928 4.24651989 ... 0.         6.63290673 6.44564728],F,33
69,[4.84974237 6.453658   4.74466339 ... 0.         6.19206995 7.08207995],F,26
70,[0.         4.11225824 4.2745429  ... 0.         5.37188454 5.31834661],F,26
71,[5.40283579 0.         5.45911902 ... 0.         6.1560085  5.82347012],F,35
72,[2.97316324 6.0999811  3.53117735 ... 0.         6.23600846 6.00086623],M,26
73,[3.77961578 5.03693696 4.050839   ... 0.         5.22845214 3.96820041],M,32
74,[5.94707898 4.84705682 0.         ... 0.         6.43178985 6.38225166],F,33
75,[2.8140678  0.         3.33955782 ... 0.         6.90991148 4.29310108],M,34
76,[2.95203721 4.66284359 3.43248098 ... 0.         6.26663026 5.53352537],M,31
77,[2.69149729 3.65583512 2.55491265 ... 0.         4.6872124  4.92277351],F,29
78,[3.77154225 5.24916697 5.0206331  ... 0.         6.84671101 6.4339226 ],M,26
79,[4.04224469 4.91735344 4.56293746 ... 0.         5.47663394 5.57590907],F,35
80,[0.         0.         4.89144321 ... 0.         0.         0.        ],M,29
81,[2.60053456 0.         0.         ... 0.         7.1884239  7.32638145],F,28
82,[3.00932811 2.21044068 2.42776937 ... 0.         4.44227684 4.36391052],M,22
83,[5.63199953 0.         2.21871559 ... 0.         6.83853494 6.34628525],F,32
84,[2.67374703 3.76012975 2.63319742 ... 0.         5.29890348 4.99793962],F,26
85,[3.74041101 5.70851489 0.         ... 0.         6.04523848 5.23127394],M,33
86,[6.43106219 6.81085603 4.62405086 ... 0.         6.3702033  7.18762858],F,31
87,[3.10466134 3.01408664 2.43278178 ... 0.         5.80431012 6.38488238],F,26
88,[0.         6.10053967 5.75389391 ... 0.         6.25585381 5.60667394],F,32
89,[4.08549479 3.48472896 4.15912874 ... 0.         5.22194617 5.61317426],M,26
90,[4.35897308 0.         0.         ... 0.         0.         5.29418297],F,33
91,[3.95510821 5.57590633 4.48535108 ... 0.         5.68575604 5.11505061],F,34
92,[2.78788886 4.16099616 4.47385488 ... 0.         6.64700614 6.39012218],F,28
93,[3.30999911 4.83395515 5.25193066 ... 0.         0.         5.78064014],F,34
94,[2.75555476 5.50458187 5.33307174 ... 0.         5.05543022 5.93589632],M,33
95,[2.75067387 1.77077209 2.76644774 ... 0.         5.20236643 5.6103765 ],M,25
96,[2.90698703 5.89350449 3.13155213 ... 0.         5.60349315 4.52970336],M,23
97,[4.98242728 0.         5.3494385  ... 0.         5.51199783 0.        ],F,25
98,[4.63695406 7.11869026 0.         ... 0.         6.76582063 7.37428967],F,31
99,[3.81492163 6.92338861 6.01965915 ... 0.         5.78911019 6.36658345],F,35
100,[3.24471006 4.50811795 3.84033499 ... 0.         6.36461716 5.1998591 ],M,32
101,[4.68695531 4.74894358 2.84537529 ... 0.         7.06093334 6.51985842],F,30
102,[0.         0.         5.20207986 ... 0.         5.61880838 5.78063054],F,27
103,[5.60189046 6.41235699 6.27931908 ... 0.         7.02689401 7.06313172],F,32
104,[2.88774873 5.43797722 5.06165829 ... 0.         7.08543438 7.05866341],M,34
105,[5.06766197 6.04815136 5.57886071 ... 0.         0.         5.07920216],M,30
106,[0.         4.11225179 3.16978014 ... 0.         6.79450513 8.00043437],F,33
107,[3.63325097 0.         3.75298627 ... 0.         6.58331812 5.66259115],F,30
108,[3.74474335 3.58964448 3.25023107 ... 0.         5.44274765 5.23665591],M,22
109,[3.62167334 3.99933204 3.49642801 ... 0.         4.62414046 4.29382801],F,29
110,[3.1145361  5.75902761 4.18366767 ... 0.         5.70227862 7.06432804],M,26
111,[0.         0.         1.72292372 ... 6.36621373 0.         6.22673692],M,27
